aflægss,aflægs's
afsidess,afsides's
aftenkursuss,aftenkursus's
agerhønss,agerhøns's
aidsviruss,aidsvirus's
aktieindekss,aktieindeks's
aktieindicess,aktieindices's
aktionsradiuss,aktionsradius's
alaa,Ala'a
allerhelvedess,allerhelvedes's
alskenss,alskens's
amanuensiss,amanuensis's
andenhåndss,andenhånds's
andenklassess,andenklasses's
andenrangss,andenrangs's
anderledess,anderledes's
aproposs,apropos's
apsiss,apsis's
armekorpss,armekorps's
armékorpss,armékorps's
backupen,backup'en
bagbordss,bagbords's
baglænss,baglæns's
basiss,basis's
beachpartiess,beachparties's
bearnaisesovss,bearnaisesovs's
bechamelsovss,bechamelsovs's
begynderkursuss,begynderkursus's
bermudashortss,bermudashorts's
beskærersakss,beskærersaks's
beskæresakss,beskæresaks's
blishønss,blishøns's
bloomss,blooms's
boksershortss,boksershorts's
boxershortss,boxershorts's
bramgæss,bramgæs's
bramgåss,bramgås's
breakss,breaks's
brevkursuss,brevkursus's
broderesakss,broderesaks's
brodersakss,brodersaks's
brydningsindekss,brydningsindeks's
brydningsindicess,brydningsindices's
brændeglass,brændeglas's
brændglass,brændglas's
burhønss,burhøns's
bådepladss,bådeplads's
bådpladss,bådplads's
canadagæss,canadagæs's
canadagåss,canadagås's
cariess,caries's
cerberuss,cerberus's
charmekursuss,charmekursus's
charmss,charms's
chipss,chips's
cinderss,cinders's
cirruss,cirrus's
cityshortss,cityshorts's
clematiss,clematis's
clipss,clips's
cocktailpartiess,cocktailparties's
cognacsglass,cognacsglas's
coituss,coitus's
cornflakess,cornflakes's
cowboyshortss,cowboyshorts's
cpuen,cpu'en
cpuens,cpu'ens
cpuer,cpu'er
cpuerne,cpu'erne
cpuernes,cpu'ernes
cpuers,cpu'ers
cpus,cpu's
croquiss,croquis's
cykelshortss,cykelshorts's
cykluss,cyklus's
dagligdagss,dagligdags's
dekanuss,dekanus's
deltidss,deltids's
designerdrugss,designerdrugs's
digtcykluss,digtcyklus's
dominionss,dominions's
dosiss,dosis's
dragss,drags's
drugss,drugs's
dværghønss,dværghøns's
dødsenss,dødsens's
efterfødselskursuss,efterfødselskursus's
emerituss,emeritus's
emnekursuss,emnekursus's
enetagess,enetages's
enfamiliehuss,enfamiliehus's
enfamilieshuss,enfamilieshus's
enkeltfagskursuss,enkeltfagskursus's
enss,ens's
envejss,envejs's
etværelsess,etværelses's
etårss,etårs's
evergreenss,evergreens's
factss,facts's
familiekursuss,familiekursus's
fandenss,fandens's
fanss,fans's
fasanhønss,fasanhøns's
fascess,fasces's
femdørss,femdørs's
femetagerss,femetagers's
femetagess,femetages's
femogtyveårss,femogtyveårs's
femværelserss,femværelsers's
femværelsess,femværelses's
femårss,femårs's
firedørss,firedørs's
fireetagerss,fireetagers's
fireetagess,fireetages's
firepersonerss,firepersoners's
firetagerss,firetagers's
firetagess,firetages's
fireværelserss,fireværelsers's
fireværelsess,fireværelses's
fireårss,fireårs's
firpersonerss,firpersoners's
firværelserss,firværelsers's
firværelsess,firværelses's
firårss,firårs's
fittingss,fittings's
fleretagerss,fleretagers's
fleretagess,fleretages's
fodnuss,fodnus's
folkenss,folkens's
fondss,fonds's
forberedelseskursuss,forberedelseskursus's
fordumss,fordums's
forgævess,forgæves's
forkursuss,forkursus's
forlodss,forlods's
forlænss,forlæns's
franskkursuss,franskkursus's
fuldblodss,fuldblods's
fuldtidss,fuldtids's
fyrreårss,fyrreårs's
fæcess,fæces's
fælless,fælles's
følesløss,følesløs's
førstehåndss,førstehånds's
førsteklassess,førsteklasses's
førsterangss,førsterangs's
gagss,gags's
gallonss,gallons's
gammeldagss,gammeldags's
gardenpartiess,gardenparties's
genesiss,genesis's
geniuss,genius's
