alcunaltra,alcun'altra
allincontrario,all'incontrario
altranno,altr'anno
anchegli,anch'egli
anchegli,anch'Egli
anchegli,Anch'egli
anchegli,Anch'Egli
anchella,anch'ella
anchella,anch'Ella
anchessa,anch'essa
anchessa,anch'Essa
anchessa,Anch'essa
anchessa,Anch'Essa
anchesse,anch'esse
anchessi,anch'essi
anchessi,anch'Essi
anchessi,Anch'essi
anchessi,Anch'Essi
anchesso,anch'esso
anchesso,Anch'esso
anchio,anch'io
anchio,anch'Io
anchio,Anch'io
bravemigrante,brav'emigrante
bravemigrata,brav'emigrata
bravemigrato,brav'emigrato
bravimmigrata,brav'immigrata
bravimmigrato,brav'immigrato
bravintervistato,brav'intervistato
bravintervistato,Brav'intervistato
buonaggiustata,buon'aggiustata
buonandata,buon'andata
buonemigrante,buon'emigrante
buonemigrata,buon'emigrata
buonevoluta,buon'evoluta
buonibrida,buon'ibrida
buonimmigrata,buon'immigrata
caccese,c'accese
candassi,c'andassi
capparse,c'apparse
cappese,c'appese
castellalfero,Castell'Alfero
castellarquato,Castell'Arquato
castellazzara,Castell'Azzara
cattese,c'attese
cavvarremmo,c'avvarremmo
cavvarremo,c'avvarremo
centanni,cent'anni
cescluse,c'escluse
cesporrebbe,c'esporrebbe
cespresse,c'espresse
cespulse,c'espulse
cespulsero,c'espulsero
cestinse,c'estinse
ch,ch'
chebbe,ch'ebbe
chegli,ch'egli
chegli,Ch'egli
chegli,Ch'Egli
chella,ch'ella
chella,Ch'Ella
chera,ch'era
cherano,ch'erano
chero,ch'ero
chio,ch'io
ciascunaltalena,ciascun'altalena
cilluse,c'illuse
cimmerse,c'immerse
cimmersero,c'immersero
cimmusoniamo,c'immusoniamo
cimmusonimmo,c'immusonimmo
cimmusoniremmo,c'immusoniremmo
cimmusoniremo,c'immusoniremo
cimmusonissimo,c'immusonissimo
cimmusonivamo,c'immusonivamo
cimpresse,c'impresse
cincise,c'incise
cincluse,c'incluse
cincussero,c'incussero
cinducano,c'inducano
cinducemmo,c'inducemmo
cinducessero,c'inducessero
cinducessimo,c'inducessimo
cinduceste,c'induceste
cinducete,c'inducete
cinducevamo,c'inducevamo
cinducevate,c'inducevate
cinducevi,c'inducevi
cinduciamo,c'induciamo
cinduciate,c'induciate
cinfisse,c'infisse
cinfissero,c'infissero
cinfuse,c'infuse
cinfusero,c'infusero
cinterpunse,c'interpunse
cinterpunsero,c'interpunsero
cintese,c'intese
cintratterr,c'intratterr
cintratterrai,c'intratterrai
cintratterremmo,c'intratterremmo
cintratterremo,c'intratterremo
cintratterreste,c'intratterreste
cintratterresti,c'intratterresti
cintratterrete,c'intratterrete
cintrise,c'intrise
cinvolse,c'involse
cinvolsero,c'involsero
cirrise,c'irrise
co,co'
coccorse,c'occorse
coccorsero,c'occorsero
com,com'
comera,com'era
comerano,com'erano
comeravamo,com'eravamo
comeravate,com'eravate
comeri,com'eri
comero,com'ero
comha,com'ha
comho,com'ho
cosaltro,cos'altro
cosaveva,cos'aveva
cosavevano,cos'avevano
cosavrebbe,cos'avrebbe
cos,cos'
cosera,cos'era
coserano,cos'erano
coseravamo,cos'eravamo
coseravate,cos'eravate
coseri,cos'eri
cosero,cos'ero
cosha,cos'ha
coshai,cos'hai
cosho,cos'ho
cuccise,c'uccise
daffari,d'affari
dalcun,d'alcun
dalm,d'Alm
daltri,d'altri
daltronde,d'altronde
danelli,d'anelli
dapi,d'api
darchi,d'archi
dlite,d'lite
devesserci,dev'esserci
devessere,dev'essere
devesserle,dev'esserle
devesservi,dev'esservi
diciottanni,diciott'anni
didee,d'idee
dimagna,d'Imagna
dintelvi,d'Intelvi
dintere,d'intere
docchi,d'occhi
dogna,d'Ogna
dolmi,d'Olmi
dore,d'ore
dorgani,d'organi
dossola,d'Ossola
dov,dov'
dovera,dov'era
doverano,dov'erano
doveravamo,dov'eravamo
doveravate,dov'eravate
dovero,dov'ero
dumori,d'umori
glielabbiamo,gliel'abbiamo
glielaprissero,gliel'aprissero
glielavete,gliel'avete
glielaveva,gliel'aveva
glielavevano,gliel'avevano
glielavrebbero,gliel'avrebbero
glielha,gliel'ha
glielhai,gliel'hai
glielhanno,gliel'hanno
glielho,gliel'ho
grandessere,grand'Essere
granduomo,grand'uomo
granduomo,grand'Uomo
granduomo,Grand'Uomo
labrasi,l'abrasi
laccese,l'accese
laccesi,l'accesi
laccluse,l'accluse
lacclusi,l'acclusi
lacetosi,l'acetosi
laltranno,l'altr'anno
lannesse,l'annesse
lappese,l'appese
lappesi,l'appesi
lapprese,l'apprese
lappresi,l'appresi
lasperse,l'asperse
lattese,l'attese
lattesi,l'attesi
lautosospesi,l'autosospesi
lavresti,l'avresti
leffuse,l'effuse
leffusero,l'effusero
leffusi,l'effusi
leffuso,l'effuso
lelessi,l'elessi
lelise,l'elise
lelisero,l'elisero
lelisi,l'elisi
llite,l'lite
leluse,l'eluse
lelusi,l'elusi
lequivarrai,l'equivarrai
lequivarrebero,l'equivarrebero
lequivarrei,l'equivarrei
lequivarremmo,l'equivarremmo
lequivarremo,l'equivarremo
lequivarrete,l'equivarrete
lerose,l'erose
lerosi,l'erosi
lersero,l'ersero
lersi,l'ersi
lescluse,l'escluse
lesclusi,l'esclusi
lescussero,l'escussero
lescussi,l'escussi
lespanse,l'espanse
lespansero,l'espansero
lespilsero,l'espilsero
lesplose,l'esplose
lesplosi,l'esplosi
lespulse,l'espulse
lespulsi,l'espulsi
lestese,l'estese
lestinse,l'estinse
lestinsi,l'estinsi
lhan,l'han
lilluse,l'illuse
lillusi,l'illusi
limmerse,l'immerse
limmersero,l'immersero
limpresse,l'impresse
limpressi,l'impressi
lincise,l'incise
lincisi,l'incisi
lincluse,l'incluse
linclusi,l'inclusi
lincusse,l'incusse
lincussi,l'incussi
lindulsero,l'indulsero
lindulsi,l'indulsi
linfisse,l'infisse
linfissero,l'infissero
linfuse,l'infuse
linfusero,l'infusero
linfusi,l'infusi
linterpunse,l'interpunse
linterpunsero,l'interpunsero
linterpunsi,l'interpunsi
lintese,l'intese
lintesi,l'intesi
lintraprese,l'intraprese
lintrapresi,l'intrapresi
lintrattenni,l'intrattenni
lintratterr,l'intratterr
lintratterrai,l'intratterrai
lintratterrei,l'intratterrei
lintratterremmo,l'intratterremmo
lintratterremo,l'intratterremo
lintratterreste,l'intratterreste
lintratterresti,l'intratterresti
lintratterrete,l'intratterrete
lintratterr,l'intratterr
lintrise,l'intrise
lintrisi,l'intrisi
linvolse,l'involse
linvolsero,l'involsero
linvolsi,l'involsi
lirrise,l'irrise
lirrisi,l'irrisi
lisignisci,l'isignisci
loccluse,l'occluse
locclusi,l'occlusi
loffese,l'offese
loffesi,l'offesi
loppresse,l'oppresse
loppressi,l'oppressi
luccise,l'uccise
maccese,m'accese
maccorsi,m'accorsi
mapparse,m'apparse
mappese,m'appese
marresi,m'arresi
mattese,m'attese
mautosospesi,m'autosospesi
mavresti,m'avresti
mavvalsi,m'avvalsi
mavvarrei,m'avvarrei
mersi,m'ersi
mescluse,m'escluse
mesponessi,m'esponessi
mesponevo,m'esponevo
mesporrebbe,m'esporrebbe
mespresse,m'espresse
mespressi,m'espressi
mespulse,m'espulse
mespulsero,m'espulsero
mestinse,m'estinse
mestinsi,m'estinsi
mezzacqua,mezz'acqua
mezzaria,mezz'aria
mezzasta,mezz'asta
mezzet,mezz'et
mezzoretta,mezz'oretta
mha,m'ha
mhai,m'hai
mhanno,m'hanno
milluse,m'illuse
millusi,m'illusi
mimmerse,m'immerse
mimmersero,m'immersero
mimmusinii,m'immusinii
mimmusonirei,m'immusonirei
mimmusonir,m'immusonir
mimmusonisca,m'immusonisca
mimmusonisco,m'immusonisco
mimmusonissi,m'immusonissi
mimmusonivo,m'immusonivo
mimpresse,m'impresse
mimpressi,m'impressi
