abctje,abc'tje
aower,AOW'er
asos,aso's
bner,BN'er
cdaer,CDA'er
d66er,D66'er
ehboer,EHBO'er
entracte,entr'acte
george,George'
gsmetje,gsm'etje
hboer,hbo'er
hors-doeuvre,hors-d'oeuvre
htser,hts'er
ider,id'er
iter,IT'er
melkquotas,melkquota's
nsber,NSB'er
paraplus,paraplu's
psver,PSV'er
pvdaer,PvdA'er
pvdder,PvdD'er
pvdver,PvdV'er
rock-n-roller,rock-'n-roller
sgper,SGP'er
s-gravenhagenaar,'s-Gravenhagenaar
smsen,sms'en
smsje,sms'je
spring-in-t-veld,spring-in-'t-veld
sser,SS'er
tbser,tbs'er
tvloos,tv'loos
visas,visa's
vvder,VVD'er
waoer,WAO'er
ztje,z'tje
bahamas,Bahama's
nukualofa,Nuku'alofa
sint-job-in-t-goor,Sint-Job-in-'t-Goor
kmoer,kmo'er
ponytje,pony'tje
rocs,roc's
rock-n-roll,rock-'n-roll
rock-n-rollmuziek,rock-'n-rollmuziek
trompe-loeil,trompe-l'oeil
vmboers,vmbo'ers
vwoer,vwo'er
zn,z'n
bsns,BSN's
bvs,BV's
f-16s,F-16's
atje,a'tje
atjes,a'tjes
btje,b'tje
btjes,b'tjes
babytje,baby'tje
bvs,bv's
bvtjes,bv'tjes
ctje,c'tje
ctjes,c'tjes
costas,costa's
cvs,cv's
dtje,d'tje
dtjes,d'tjes
dcs,dc's
djs,dj's
etje,e'tje
etjes,e'tjes
effendis,effendi's
fen,f'en
fje,f'je
fjes,f'jes
ftes,fte's
gtje,g'tje
gtjes,g'tjes
ge-smst,ge-sms't
htje,h'tje
htjes,h'tjes
handelsembargos,handelsembargo's
itje,i'tje
itjes,i'tjes
jtje,j'tje
jtjes,j'tjes
ktje,k'tje
ktjes,k'tjes
len,l'en
letje,l'etje
letjes,l'etjes
lps,lp's
metje,m'etje
metjes,m'etjes
madrassas,madrassa's
mboers,mbo'ers
multis,multi's
nen,n'en
nvs,nv's
otje,o'tje
otjes,o'tjes
olie-embargos,olie-embargo's
ptje,p'tje
ptjes,p'tjes
pgs,pg's
pks,pk's
politicas,politica's
qtje,q'tje
qtjes,q'tjes
retje,r'etje
retjes,r'etjes
romushas,romusha's
sen,s'en
sje,s'je
sjes,s'jes
smst,sms't
smste,sms'te
ttje,t'tje
ttjes,t'tjes
tiramisutje,tiramisu'tje
utje,u'tje
utjes,u'tjes
vtje,v'tje
vtjes,v'tjes
vjs,vj's
wtje,w'tje
wtjes,w'tjes
wapenembargos,wapenembargo's
xen,x'en
xje,x'je
xjes,x'jes
ytje,y'tje
ytjes,y'tjes
zapatistas,zapatista's
suvs,SUV's
cfks,cfk's
ladytje,lady'tje
bsers,BS'ers
atbs,ATB's
zje,z'je
shantys,shanty's
sifakas,sifaka's
titis,titi's
ftpde,ftp'de
saguaros,saguaro's
saloekis,saloeki's
genitief-sen,genitief-s'en
pangis,pangi's
kleuren-tvs,kleuren-tv's
buggytje,buggy'tje
brabos,brabo's
ondernemings-caos,ondernemings-cao's
aovers,AOV'ers
anansitoris,Anansitori's
asjkenazis,Asjkenazi's
gurkhas,Gurkha's
kzs,KZ's
kwintis,Kwinti's
lloyds-leden,Lloyd's-leden
wajanas,Wajana's
abajas,abaja's
acmes,acme's
amsers,ams'ers
angisas,angisa's
awaras,awara's
awaris,awari's
azukis,azuki's
babiroesas,babiroesa's
bakabanas,bakabana's
bakras,bakra's
belcanto-operas,belcanto-opera's
bernhardtitis,bernhardtiti's
bimas,bima's
birambis,birambi's
boomboas,boomboa's
brasas,brasa's
breedbeeld-tvs,breedbeeld-tv's
chefs-doeuvre,chefs-d'oeuvre
crosscountrys,crosscountry's
dansis,dansi's
decurios,decurio's
derboekas,derboeka's
dividivis,dividivi's
doglas,dogla's
ecstasytje,ecstasy'tje
enchiladas,enchilada's
entracten,entr'acten
fellagas,fellaga's
feloekas,feloeka's
fransmanbirambis,fransmanbirambi's
garimpeiros,garimpeiro's
ge-ftpd,ge-ftp'd
gecos,geco's
gerock-n-rold,gerock-'n-rold
hebis,hebi's
hobbytje,hobby'tje
hoelas,hoela's
hofoperas,hofopera's
hudos,hudo's
juffertjes-in-t-groen,juffertjes-in-'t-groen
kaffiyas,kaffiya's
kankantris,kankantri's
kehilas,kehila's
kotomisis,kotomisi's
krobias,krobia's
kvvers,kvv'ers
kwikwis,kwikwi's
labarias,labaria's
lebas,leba's
lobbytje,lobby'tje
lollytje,lolly'tje
loop-in-t-lĳntjes,loop-in-'t-lĳntjes
makaperis,makaperi's
maripas,maripa's
martekos,marteko's
maulanas,maulana's
meervouds-sen,meervouds-s'en
mezoezas,mezoeza's
mikwas,mikwa's
mitrailleursalvos,mitrailleursalvo's
monkimonkis,monkimonki's
mps,mp's
obias,obia's
oribis,oribi's
ornis,orni's
phs,pH's
pagaras,pagara's
pakiras,pakira's
panditas,pandita's
parwas,parwa's
pingos,pingo's
push-up-bhs,push-up-bh's
push-up-bhtje,push-up-bh'tje
push-upbehas,push-upbeha's
rock-n-rol,rock-'n-rol
rock-n-rolde,rock-'n-rolde
rock-n-rolt,rock-'n-rolt
saotos,saoto's
sherrytje,sherry'tje
sitatoengas,sitatoenga's
sport-bhs,sport-bh's
sport-bhtje,sport-bh'tje
surimonos,surimono's
swipis,swipi's
tilburytje,tilbury'tje
tsubas,tsuba's
tussen-sen,tussen-s'en
twatwas,twatwa's
vampirellas,vampirella's
verbindings-nen,verbindings-n'en
verbindings-sen,verbindings-s'en
vps,vp's
wasis,wasi's
smsten,sms'ten
mcdonalds,McDonald's
jesus,Jesus'
paige,Paige'
rasmus,Rasmus'
ridge,Ridge'
seras,Sera's
matâutu,Matâ'utu
röntgenfotos,röntgenfoto's
privéautos,privéauto's
scènefotos,scènefoto's
bagagereçus,bagagereçu's
anaïs,Anaïs'
andrés,Andrés'
aïchas,Aïcha's
aïdas,Aïda's
aïshas,Aïsha's
daniëllas,Daniëlla's
dünyas,Dünya's
françois,François'
félix,Félix'
henriëttas,Henriëtta's
inés,Inés'
iñakis,Iñaki's
laïs,Laïs'
loïs,Loïs'
mariëllas,Mariëlla's
mariëttas,Mariëtta's
marías,María's
matteüs,Matteüs'
mattheüs,Mattheüs'
matthéüs,Matthéüs'
noëllas,Noëlla's
rafaëllas,Rafaëlla's
rémys,Rémy's
saïdas,Saïda's
timoteüs,Timoteüs'
tomás,Tomás'
multimedia-pcs,multimedia-pc's
wcs,wc's
mboer,mbo'er
ĳtje,ĳ'tje
ngos,ngo's
marys,mary's
déquipe,d'équipe
dellarte,dell'arte
vus,vu's
minas,mina's
tempores,tempore's
votos,voto's
morganas,morgana's
gentlemans,gentleman's
krisjnas,krisjna's
darc,d'Arc
dhôtel,d'hôtel
